Reporter Name	Partner Name	Year	Trade Flow	No Of exported HS6 digit Products	No Of imported HS6 digit Products	Export Share in Total Products (%)	Import Share in Total Products (%)	Trade Balance (US$ Thousand)	Export (US$ Thousand)	Import (US$ Thousand)	Import Partner Share (%)	Export Partner Share (%)	AHS Simple Average (%)	AHS Weighted Average (%)	AHS Total Tariff Lines	AHS Dutiable Tariff Lines Share (%)	AHS Duty Free Tariff Lines Share (%)	AHS Specific Tariff Lines Share (%)	AHS AVE Tariff Lines Share (%)	AHS MaxRate (%)	AHS MinRate (%)	AHS SpecificDuty Imports(US$ Thousand)	AHS Dutiable Imports (US$ Thousand)	AHS Duty Free Imports (US$ Thousand)	MFN Simple Average (%)	MFN Weighted Average (%)	MFN Total Tariff Lines	MFN Dutiable Tariff Lines Share (%)	MFN Duty Free Tariff Lines Share (%)	MFN Specific Tariff Lines Share (%)	MFN AVE Tariff Lines Share (%)	MFN MaxRate (%)	MFN MinRate (%)	MFN SpecificDuty Imports (US$ Thousand)	MFN Dutiable Imports (US$ Thousand)	MFN Duty Free Imports (US$ Thousand)	No Of Tariff Agreement
Germany	Burkina Faso	2019	Exports & Imports	739	63	16.75	1.4	2904.36	69848.28	66943.93	0.01	0	0.91	0.01	300	34.67	65.33	0	0	6.5	0	0	822.27	65890.05	2.99	0.29	300	67	29.33	0.33	3.33	27.79	0	8.1	4386.48	62325.84	
Germany	Bangladesh	2019	Exports & Imports	1512	678	34.26	15.08	-5773642.82	921128.81	6694771.63	0.54	0.06	0.81	0.03	2646	26.64	73.17	0.04	0.15	10.5	0	9.05	65763.98	6626818.36	7.52	11.72	2646	77.32	11.11	1.97	9.6	121.54	0	31.6	6679697.24	12885.11	
Germany	Bulgaria	2019	Exports & Imports	3449	1831	78.16	40.72	-799268.41	4400193.46	5199461.87	0.42	0.29																									
Germany	Bahrain	2019	Exports & Imports	1642	251	37.21	5.58	320622.2	429396.78	108774.59	0.01	0.03																									
Germany	Bahamas, The	2019	Exports & Imports	598	69	13.55	1.53	33146.41	36369.11	3222.71	0	0	0	0	1391	0	100	0	0	0	0	0	0	100301.98	3.78	4.67	1391	73.04	23.8	1.8	1.37	51.49	0	82.71	84428.27	15873.72	
Germany	Bosnia and Herzegovina	2019	Exports & Imports	2572	1047	58.28	23.28	125006.72	1004234.51	879227.79	0.07	0.07	0.09	0	4274	0.02	93.78	0.73	5.47	72.54	0	378.5	420.72	826302.32	5.19	4.82	4274	68.55	16.33	2.34	12.77	121.54	0	2387.78	646836.08	179886.96	
Germany	Saint Barthélemy	2019	Exports & Imports	110	15	2.49	0.33	-1658.69	1032.2	2690.9	0	0	4.86	1.76	31	54.84	32.26	0	12.9	26.56	0	0	441.88	2249.01	4.86	1.76	31	54.84	32.26	0	12.9	26.56	0	0	441.88	2249.01	
Germany	Belarus	2019	Exports & Imports	2557	758	57.94	16.86	1068445.2	1693718.95	625273.75	0.05	0.11	4.18	2.31	3349	71.96	21.38	2	4.66	57.6	0	889.75	230446.41	259217.47	4.18	2.31	3349	71.96	21.38	2	4.66	57.6	0	889.75	230446.41	259217.47	
Germany	Belize	2019	Exports & Imports	193	49	4.37	1.09	-2078.9	3494.12	5573.01	0	0	0	0	310	0	100	0	0	0	0	0	0	14703.02	11.34	7.13	310	56.77	7.42	1.29	34.52	93.42	0	11.02	14637.77	65.25	
Germany	Bermuda	2019	Exports & Imports	340	14	7.7	0.31	133860.03	134886.34	1026.31	0	0.01	0	0	47	0	100	0	0	0	0	0	0	610.41	0.72	0.05	47	44.68	46.81	8.51	0	4	0	390.7	417.19	193.21	
Germany	Bolivia	2019	Exports & Imports	1293	122	29.3	2.71	-48177.57	143199.48	191377.06	0.02	0.01	1.36	0.02	450	0.67	88.44	3.33	7.56	67.41	0	93.89	338.86	186604.06	5.28	0.18	450	60.89	26.22	3.33	9.56	67.41	0	93.89	11944.93	174997.99	
Germany	Brazil	2019	Exports & Imports	2834	1719	64.22	38.23	3722725.91	11474351.67	7751625.76	0.63	0.77	4.93	4.55	7423	65.7	19.26	1.51	13.53	144.27	0	49948.24	2872101.16	4586534.71	4.93	4.55	7423	65.7	19.26	1.51	13.53	144.27	0	49948.24	2872101.16	4586534.71	
Germany	Barbados	2019	Exports & Imports	965	28	21.87	0.62	21238.77	28988.7	7749.92	0	0	0	0	108	0	100	0	0	0	0	0	0	7734.64	2.18	0.67	108	34.26	56.48	9.26	0	12	0	1243.09	6927.7	806.93	
Germany	Brunei	2019	Exports & Imports	655	101	14.84	2.25	76423.25	77597.76	1174.51	0	0.01	3.88	2.21	476	78.57	20.8	0.63	0	16.9	0	21.19	473.78	532.15	3.88	2.21	476	78.57	20.8	0.63	0	16.9	0	21.19	473.78	532.15	
Germany	Bhutan	2019	Exports & Imports	181	12	4.1	0.27	4281.25	5641.84	1360.59	0	0	0.12	0	25	20	80	0	0	3.7	0	0	0.86	1358.69	5.01	5.67	25	36	48	0	16	57.18	0	0	1348.44	11.11	
Germany	Botswana	2019	Exports & Imports	415	33	9.4	0.73	70914.49	74261.92	3347.43	0	0.01	0	0	197	0	100	0	0	0	0	0	0	3216.24	5.44	45.59	197	62.44	17.77	0	19.8	84.94	0	0	2682.39	533.86	
Germany	Central African Republic	2019	Exports & Imports	243	20	5.51	0.44	9626.62	10974.55	1347.93	0	0	0.59	0.5	179	12.85	87.15	0	0	4	0	0	376.34	971.7	5.67	1.37	179	37.43	16.2	3.35	43.02	31.79	0	82.46	467.22	880.82	
Germany	Canada	2019	Exports & Imports	3121	2306	70.72	51.28	6358327.68	12313775.3	5955447.62	0.48	0.82	0.24	0.19	8857	0.95	95.82	0.09	3.14	84.94	0	1255.69	150344.73	5655865.07	4.46	1.39	8857	72.02	18.46	1.4	8.12	237.64	0	21834.1	2479239.18	3326970.62	
Germany	Cocos (Keeling) Islands	2019	Exports & Imports	2	1	0.05	0.02	157.02	157.08	0.06	0	0	0.85	0.85	2	50	50	0	0	1.7	0	0	0.06	0	0.85	0.85	2	50	50	0	0	1.7	0	0	0.06	0	
Germany	Switzerland	2019	Exports & Imports	4170	3803	94.49	84.57	12030914.82	64755169.35	52724254.53	4.25	4.34	1.33	0.16	12403	6.43	85.32	0.28	7.97	237.64	0	3234.1	473130.97	43781750.87	5.08	2.8	12403	68.71	19.62	1.26	10.42	237.64	0	1054053.68	26825700.05	17429181.79	
Germany	Chile	2019	Exports & Imports	2717	644	61.57	14.32	2056931.59	3250916.71	1193985.11	0.1	0.22	1.04	1.23	3761	0.37	84.55	1.49	13.59	121.68	0	104565.01	201387.23	966947.67	5.33	3.98	3761	62.4	18.03	2.05	17.52	260.34	0	152952.36	560305.3	608029.6	
Germany	China	2019	Exports & Imports	3552	3923	80.49	87.24	-16023706.42	108330594.45	124354300.87	10.03	7.25	5.69	3.13	12842	70.8	19.05	1.21	8.94	3000	0	1381584.33	73155621.24	45703701.11	5.69	3.13	12842	70.8	19.05	1.21	8.94	3000	0	1381584.33	73155621.24	45703701.11	
Germany	Cote d'Ivoire	2019	Exports & Imports	1199	129	27.17	2.87	-460495.98	241340.5	701836.48	0.06	0.02	0	0	622	0	100	0	0	0	0	0	0	701526.37	4.82	0.71	622	72.35	22.03	2.89	2.73	77.67	0	35.58	53523.19	648003.18	
Germany	Cameroon	2019	Exports & Imports	1169	152	26.49	3.38	11447.92	109974.82	98526.91	0.01	0.01	0	0	633	0	100	0	0	0	0	0	0	98261.87	4.07	2.49	633	67.61	26.86	1.58	3.95	49.12	0	11.95	33894.07	64367.8	
Germany	Congo, Rep.	2019	Exports & Imports	641	28	14.53	0.62	32489.88	48859.86	16369.98	0	0	0.18	0.02	130	10.77	89.23	0	0	3	0	0	85.43	15370.51	0.9	0.64	130	63.08	36.15	0	0.77	6.5	0	0	6384.68	9071.26	
Germany	Cook Islands	2019	Exports & Imports	23	3	0.52	0.07	989.49	1063.59	74.1	0	0	2.17	3.38	5	40	60	0	0	6.5	0	0	38.51	35.59	3.33	5.2	5	40	60	0	0	10	0	0	38.51	35.59	
Germany	Colombia	2019	Exports & Imports	2377	645	53.86	14.34	1168150.89	1931300.14	763149.25	0.06	0.13	0.52	3.62	3085	0	94.1	0.52	5.38	93.42	0	1030.27	265815.38	479287.47	5.31	8.38	3085	69.21	18.25	2.53	10.02	93.42	0	1163.84	398415.74	346687.11	
Germany	Comoros	2019	Exports & Imports	53	4	1.2	0.09	-7069.12	924.61	7993.73	0	0	0.41	0.16	11	36.36	63.64	0	0	2.9	0	0	776.23	7217.45	3.91	5.89	11	54.55	45.45	0	0	8	0	0	7993.06	0.62	
Germany	Cape Verde	2019	Exports & Imports	649	15	14.71	0.33	15069.24	15769.51	700.26	0	0	0	0	73	0	100	0	0	0	0	0	0	663.68	5.16	23.16	73	84.93	15.07	0	0	25	0	0	654.19	9.49	
Germany	Costa Rica	2019	Exports & Imports	1596	336	36.17	7.47	-429466.63	245871.37	675338	0.05	0.02	0.97	2.77	2017	0.4	89.14	0.79	9.67	93.42	0	3364.78	273838	383010.95	5.08	9.33	2017	65.49	18.29	2.23	13.98	93.42	0	4002.18	471077.06	185771.89	
Germany	Cuba	2019	Exports & Imports	1099	67	24.9	1.49	155972.57	223269.74	67297.17	0.01	0.01	5.4	18.08	325	46.15	28.62	9.85	15.38	93.42	0	11574.83	61413.82	3863.79	5.4	18.08	325	46.15	28.62	9.85	15.38	93.42	0	11574.83	61413.82	3863.79	
